state,state_name,rank,tax_score,investment_score,effectiveness_score,public_good_index
NH,New Hampshire,1,83.36202536739523,10.563786163161112,79.46005563794613,57.79528905616749
MA,Massachusetts,2,39.61435708647095,52.69138003708468,79.4818792981371,57.26253880723092
WY,Wyoming,3,58.40991124470228,55.99990757947964,55.53652825194839,56.6487823587101
NE,Nebraska,4,55.38529082694758,51.08065743585183,58.89672529439065,55.120891185730024
UT,Utah,5,51.47713575366458,46.252851968131274,65.38217824734267,54.37072198971284
IA,Iowa,6,48.43619742767338,49.0044354096608,62.20012693475566,53.213586590696615
ND,North Dakota,7,2.7226180222820915,100.0,56.608905193826644,53.110507738702914
MN,Minnesota,8,17.734656185706,73.91491425453387,67.46749633556668,53.03902225860219
VT,Vermont,9,0.7496770087052624,86.11661675941133,71.63554600414021,52.83394659075227
CT,Connecticut,10,34.3493787649696,51.98918256141346,69.62852366470013,51.989028330361066
VA,Virginia,11,53.86662691821728,40.996960612689776,60.59934798835209,51.82097850641971
NJ,New Jersey,12,36.466086485122865,40.98161503665791,77.69805103403293,51.7152508519379
ID,Idaho,13,39.12212435694525,52.0276927206189,61.39442973185311,50.84808226980575
ME,Maine,14,39.50121198364959,46.435999494552355,65.01257704919468,50.31659617579887
WA,Washington,15,47.01798759743318,42.257274053371695,60.85331073027825,50.04285746036104
MT,Montana,16,48.50825461930872,47.67464634884226,52.43832290295932,49.54040795703677
SD,South Dakota,17,75.37187075001455,28.68063238865834,44.19614613300454,49.41621642389248
CO,Colorado,18,70.60738298348554,20.207775035302944,56.351008804508055,49.05538894109884
WI,Wisconsin,19,44.91273861534501,46.472473941451575,55.439803634558736,48.94167206378511
KS,Kansas,20,41.025288385468414,56.27321244430886,48.41840469578086,48.57230184185271
OR,Oregon,21,45.1602759244991,34.14367809406736,59.92637097075915,46.4101083297752
PA,Pennsylvania,22,49.399242948176415,35.549775005570574,51.82930806967919,45.592775341142065
TX,Texas,23,72.23643368180322,20.980825400004864,42.61508930914396,45.277449463650676
FL,Florida,24,75.391022151226,16.91364865841698,43.274864359460885,45.19317838970128
IN,Indiana,25,49.90826291487039,41.995352391938376,40.77150193602299,44.22503908094392
OH,Ohio,26,61.81493815627019,26.741976712926547,43.10738797458788,43.8881009479282
KY,Kentucky,27,42.980338606640125,42.04431040463189,46.47545231181505,43.833367107695686
NY,New York,28,30.988757447401884,44.72658403734681,52.49565716084379,42.73699954853083
NC,North Carolina,29,54.51770539963439,37.57737202171324,34.81709138105149,42.30405626746637
MO,Missouri,30,67.94987265350218,24.012552793170883,34.34047341959665,42.100966288756574
NV,Nevada,31,40.561216657663664,49.69056887757766,36.006022834023796,42.08593612308837
CA,California,32,15.332617748519827,61.585173907429805,49.24910480813678,42.055632154695466
IL,Illinois,33,36.44204062056931,49.60819083704423,39.67261328843127,41.90761491534827
AZ,Arizona,34,63.20597840419709,23.24048161897105,38.654499126336525,41.700319716501554
GA,Georgia,35,62.548151931707636,27.29726867775779,31.740116950865517,40.52851252011031
MD,Maryland,36,42.53342601864781,41.33036096634709,36.5417532775268,40.13518008750723
RI,Rhode Island,37,27.60992994934132,42.24449129630606,47.36224731369888,39.07222285311542
OK,Oklahoma,38,60.282597472730075,32.095430796081544,22.132264023181854,38.17009743066449
MI,Michigan,39,51.0100547145229,34.774959062016755,28.307821001421942,38.0309449259872
SC,South Carolina,40,54.356769986105036,32.925563618523846,24.029252006794827,37.10386187047457
DE,Delaware,41,3.8269081288665134,73.7404396579652,32.554058647617985,36.707135478149894
TN,Tennessee,42,59.644039403155816,34.68857024201528,14.520979632278909,36.28452975915
WV,West Virginia,43,35.64345495883315,46.80921244662482,23.63847377542449,35.36371372696082
AR,Arkansas,44,37.28064613373238,55.14942218498287,10.732446108705538,34.38750480914027
AL,Alabama,45,51.49184655139119,35.579459901830745,12.179381722157856,33.0835627251266
NM,New Mexico,46,0.0,91.00579658106534,1.1712580939240809,30.72568489166314
MS,Mississippi,47,37.824933215710914,45.196533413843085,8.98876260223662,30.670076410596874
LA,Louisiana,48,53.19660828809958,33.94061113009347,4.166380326998713,30.43453324839726
