state,state_name,investment_spending,cost_spending,total_spending,investment_ratio,population,investment_per_capita,cost_per_capita,total_per_capita,rpp,col_weight
AL,Alabama,9799494.979999999,21159186.02,30958681.0,0.316534641123761,5108468,1889.8816537212963,4080.6549264515406,5970.536580172837,87.8,0.9851936218678816
AR,Arkansas,7477831.1,13980458.9,21458290.0,0.3484821530513382,3067732,2437.5763919403653,4557.262140239108,6994.838532179473,86.5,1.0
AZ,Arizona,12977588.8,28510027.2,41487616.0,0.3128063275556735,7431344,1544.5568450812914,3393.184846881094,4937.741691962386,97.8,0.8844580777096115
CA,California,132775339.5,211445339.5,344220679.0,0.3857273766518833,38965193,2617.6905538313686,4168.684259781665,6786.374813613033,112.6,0.7682060390763766
CO,Colorado,10344922.000000002,20288153.0,30633075.0,0.33770432775684456,5877610,1459.6820040159455,2862.684883348769,4322.366887364714,104.3,0.8293384467881112
CT,Connecticut,10678015.88,21925062.12,32603078.0,0.3275155762900669,3617176,2349.132347526929,4823.449714482851,7172.58206200978,108.7,0.795768169273229
DE,Delaware,3528555.4800000004,5688806.52,9217362.0,0.38281619838734776,1031890,2957.873891790792,4768.742443283683,7726.6163350744755,100.0,0.865
FL,Florida,35960095.589999996,85829791.41,121789887.0,0.29526339563809595,22610726,1367.4909380575652,3263.9363172656704,4631.427255323236,100.6,0.8598409542743539
GA,Georgia,19513686.459999997,37470600.54,56984287.0,0.3424397757227356,11029227,1658.0921137764967,3183.9041475427784,4841.996261319275,92.3,0.9371614301191766
IA,Iowa,7517780.0,13690220.0,21208000.0,0.3544784986797435,3207004,2265.5997230753924,4125.7603495767635,6391.360072652156,89.5,0.9664804469273743
ID,Idaho,5081939.89,7985109.11,13067049.0,0.3889125915116718,1964726,2350.2101120754564,3692.81899875991,6043.029110835367,95.2,0.9086134453781513
IL,Illinois,32121717.119999997,64342526.88,96464244.0,0.33299091754660926,12549689,2282.4967239977595,4572.0347473546835,6854.531471352443,97.0,0.8917525773195877
IN,Indiana,14890433.19,28249133.810000002,43139567.0,0.34516881428133017,6862199,2069.44002521782,3926.0031886384622,5995.4432138562825,90.7,0.9536934950385887
KS,Kansas,7579237.579999999,12556413.420000002,20135651.0,0.3764088670388655,2940546,2469.027347388786,4090.401942394259,6559.4292897830455,90.3,0.9579180509413068
KY,Kentucky,9643696.16,19799189.84,29442886.0,0.3275390924653242,4526154,2070.810188612002,4251.519683603888,6322.329872215891,89.0,0.9719101123595506
LA,Louisiana,8775329.200000001,18915814.799999997,27691144.0,0.31690020462859897,4573749,1844.0160135105316,3974.9010669365543,5818.917080447085,90.0,0.9611111111111111
MA,Massachusetts,21109676.28,38027295.72,59136972.0,0.3569624139700626,7001399,2368.784396777271,4267.164666969072,6635.949063746343,110.1,0.7856494096276113
MD,Maryland,16074085.56,28559617.439999998,44633703.0,0.3601333628984357,6180253,2050.829243066712,3643.80906136909,5694.638304435802,109.7,0.788514129443938
ME,Maine,3514899.4200000004,7050173.58,10565073.0,0.33269050010350143,1395722,2193.718192809551,4400.152663518104,6593.870856327655,99.3,0.8710976837865055
MI,Michigan,19913343.380000003,44761002.62,64674346.0,0.30790173556606204,10037261,1867.3664914290177,4197.446647723827,6064.813139152844,91.9,0.9412404787812839
MN,Minnesota,19260168.66,29846810.339999996,49106979.0,0.3922083795869422,5737915,2962.7568249876444,4591.280720329206,7554.03754531685,98.0,0.8826530612244898
MO,Missouri,9962229.760000002,24015466.24,33977696.0,0.29319909625420165,6196156,1566.1644145554496,3775.476929378284,5341.641343933733,88.8,0.9740990990990991
MS,Mississippi,6361553.399999999,12725035.600000001,19086589.0,0.33329964825040237,2939690,2159.0298760522974,4318.714362160205,6477.744238212502,86.7,0.9976931949250288
MT,Montana,2786987.7199999997,4864720.28,7651708.0,0.36423079918888696,1132812,2228.3835822870883,3889.67010029418,6118.053682581269,95.5,0.9057591623036649
NC,North Carolina,22692352.68,41992393.32,64684746.0,0.35081459050639235,10835491,1945.796220119096,3600.7125989992487,5546.508819118344,93.1,0.929108485499463
ND,North Dakota,3625578.96,3974129.04,7599708.0,0.47706819262003225,783926,4386.554891996385,4808.26245247101,9194.817344467396,91.2,0.9484649122807017
NE,Nebraska,4862903.399999999,8029935.6,12892839.0,0.3771786338137007,1978379,2323.7059096212056,3837.0510933031705,6160.757002924377,91.5,0.9453551912568307
NH,New Hampshire,2044190.43,5298108.57,7342299.0,0.2784128554285245,1402054,1189.7805149741089,3083.659061452186,4273.4395764262945,106.0,0.8160377358490566
NJ,New Jersey,24882412.32,49167946.68,74050359.0,0.33602014434528266,9290841,2041.0690653053825,4033.1770763427526,6074.246141648136,113.5,0.762114537444934
NM,New Mexico,7805606.789999999,11180440.21,18986047.0,0.41112332598776347,2114371,3441.070793421868,4928.852720780015,8369.923514201884,92.8,0.9321120689655172
NV,Nevada,8268322.700000001,14180991.299999999,22449314.0,0.3683107065097847,3194176,2284.8021969819256,3918.6617713434875,6203.463968325414,98.0,0.8826530612244898
NY,New York,56271707.38999999,110843329.61000001,167115037.0,0.33672438100229124,19571216,2145.8776380963805,4226.923855246566,6372.801493342946,115.9,0.7463330457290768
OH,Ohio,20231838.18,47312528.82,67544367.0,0.2995340555934146,11785935,1642.551435521065,3841.13699605632,5483.688431577385,90.4,0.956858407079646
OK,Oklahoma,7425575.819999999,15609750.18,23035326.0,0.32235601180551987,4053824,1792.3758751504458,3767.86128348459,5560.2371586350355,88.4,0.9785067873303167
OR,Oregon,9134003.040000001,19301964.96,28435968.0,0.32121301585372447,4233358,1849.69914698138,3908.782158843739,5758.481305825118,100.9,0.8572844400396432
PA,Pennsylvania,27599013.5,62699013.5,90298027.0,0.3056435939624683,12961683,1889.0508773891277,4291.516668289893,6180.56754567902,97.5,0.8871794871794871
RI,Rhode Island,2638724.0,5530724.0,8169448.0,0.32299905697422887,1095962,2076.412551022089,4352.128047434703,6428.540598456792,100.3,0.8624127617148555
SC,South Carolina,10275102.149999999,22049392.85,32324495.0,0.31787355533319234,5373555,1815.6083869098582,3896.1230750129594,5711.731461922818,91.1,0.9495060373216246
SD,South Dakota,1633843.52,3420588.48,5054432.0,0.323249678697824,919318,1696.8076214786097,3552.409108802496,5249.216730281106,90.6,0.9547461368653423
TN,Tennessee,14012681.68,28135114.32,42147796.0,0.3324653483660213,7126489,1864.9487707675682,3744.504304367314,5609.453075134882,91.2,0.9484649122807017
TX,Texas,49781918.99999999,92304781.0,142086700.0,0.35036297556351154,30503301,1481.316977604529,2746.6325516573193,4227.9495292618485,95.3,0.9076600209863589
UT,Utah,8465834.16,10515997.84,18981832.0,0.44599668567291084,3417734,2188.5925346663557,2718.602081285221,4907.194615951576,97.9,0.8835546475995913
VA,Virginia,21090240.64,35830903.36,56921144.0,0.3705168090086173,8642274,2041.4985342602015,3468.368992998788,5509.86752725899,103.4,0.8365570599613152
VT,Vermont,2552411.95,3870337.05,6422749.0,0.39740179010576315,647464,3304.2397651458423,5010.367384123574,8314.607149269417,103.2,0.8381782945736433
WA,Washington,20164709.700000003,34217345.3,54382055.0,0.3707971260004794,7812880,2076.7702956453786,3524.0560053726426,5600.826301018021,107.5,0.8046511627906977
WI,Wisconsin,14022841.8,26587234.2,40610076.0,0.3453044953671104,5910955,2194.7389848967873,4161.213556536104,6355.952541432892,93.5,0.9251336898395722
WV,West Virginia,3910546.0800000005,8988571.92,12899118.0,0.30316383492266685,1770071,2204.163116878785,5066.371369667206,7270.534486545991,86.7,0.9976931949250288
WY,Wyoming,1583836.8,2489891.2,4073728.0,0.3887929680135738,584057,2461.3785009459134,3869.442021661842,6330.820522607755,95.3,0.9076600209863589
